col1 int,col7 str,col2 int,col8 str,col3 int,col9 str,col10 str,col11 str,col12 str,col13 str,col4 int,col5 int,col6 int,col14 str
21.0,Private,197200.0,Some-college,10.0,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States
19.0,Private,544091.0,HS-grad,9.0,Married-AF-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,25.0,United-States
31.0,Private,84154.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,38.0,noValueSetHere123156456
48.0,Self-emp-not-inc,265477.0,Assoc-acdm,12.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States
31.0,Private,507875.0,9th,5.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,43.0,United-States
53.0,Self-emp-not-inc,88506.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States
24.0,Private,172987.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,50.0,United-States
49.0,Private,94638.0,HS-grad,9.0,Separated,Adm-clerical,Unmarried,White,Female,0.0,0.0,40.0,United-States
25.0,Private,289980.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,35.0,United-States
57.0,Federal-gov,337895.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,0.0,40.0,United-States
53.0,Private,144361.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,38.0,United-States
44.0,Private,128354.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States
41.0,State-gov,101603.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
29.0,Private,271466.0,Assoc-voc,11.0,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,43.0,United-States
25.0,Private,32275.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0.0,0.0,40.0,United-States
18.0,Private,226956.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,30.0,noValueSetHere123156456
47.0,Private,51835.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,1902.0,60.0,Honduras
50.0,Federal-gov,251585.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,55.0,United-States
47.0,Self-emp-inc,109832.0,HS-grad,9.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,60.0,United-States
43.0,Private,237993.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,40.0,United-States
46.0,Private,216666.0,5th-6th,3.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico
35.0,Private,56352.0,Assoc-voc,11.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Puerto-Rico
41.0,Private,147372.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,48.0,United-States
30.0,Private,188146.0,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5013.0,0.0,40.0,United-States
30.0,Private,59496.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,2407.0,0.0,40.0,United-States
32.0,noValueSetHere123156456,293936.0,7th-8th,4.0,Married-spouse-absent,noValueSetHere123156456,Not-in-family,White,Male,0.0,0.0,40.0,noValueSetHere123156456
48.0,Private,149640.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,40.0,United-States
42.0,Private,116632.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,45.0,United-States
29.0,Private,105598.0,Some-college,10.0,Divorced,Tech-support,Not-in-family,White,Male,0.0,0.0,58.0,United-States
36.0,Private,155537.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
28.0,Private,183175.0,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States
53.0,Private,169846.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States
49.0,Self-emp-inc,191681.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States
25.0,noValueSetHere123156456,200681.0,Some-college,10.0,Never-married,noValueSetHere123156456,Own-child,White,Male,0.0,0.0,40.0,United-States
19.0,Private,101509.0,Some-college,10.0,Never-married,Prof-specialty,Own-child,White,Male,0.0,0.0,32.0,United-States
31.0,Private,309974.0,Bachelors,13.0,Separated,Sales,Own-child,Black,Female,0.0,0.0,40.0,United-States
29.0,Self-emp-not-inc,162298.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,70.0,United-States
23.0,Private,211678.0,Some-college,10.0,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States
79.0,Private,124744.0,Some-college,10.0,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0.0,0.0,20.0,United-States
27.0,Private,213921.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,Mexico
40.0,Private,32214.0,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States
67.0,noValueSetHere123156456,212759.0,10th,6.0,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,0.0,0.0,2.0,United-States
18.0,Private,309634.0,11th,7.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,22.0,United-States
31.0,Local-gov,125927.0,7th-8th,4.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,40.0,United-States
18.0,Private,446839.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,30.0,United-States
52.0,Private,276515.0,Bachelors,13.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,Cuba
46.0,Private,51618.0,HS-grad,9.0,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States
59.0,Private,159937.0,HS-grad,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States
44.0,Private,343591.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Female,14344.0,0.0,40.0,United-States
53.0,Private,346253.0,HS-grad,9.0,Divorced,Sales,Own-child,White,Female,0.0,0.0,35.0,United-States
49.0,Local-gov,268234.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States
33.0,Private,202051.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States
30.0,Private,54334.0,9th,5.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States
43.0,Federal-gov,410867.0,Doctorate,16.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States
57.0,Private,249977.0,Assoc-voc,11.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States
37.0,Private,286730.0,Some-college,10.0,Divorced,Craft-repair,Unmarried,White,Female,0.0,0.0,40.0,United-States
28.0,Private,212563.0,Some-college,10.0,Divorced,Machine-op-inspct,Unmarried,Black,Female,0.0,0.0,25.0,United-States
30.0,Private,117747.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0.0,1573.0,35.0,noValueSetHere123156456
34.0,Local-gov,226296.0,Bachelors,13.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States
29.0,Local-gov,115585.0,Some-college,10.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,50.0,United-States
48.0,Self-emp-not-inc,191277.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,60.0,United-States
37.0,Private,202683.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,48.0,United-States
48.0,Private,171095.0,Assoc-acdm,12.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,England
32.0,Federal-gov,249409.0,HS-grad,9.0,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,40.0,United-States
76.0,Private,124191.0,Masters,14.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States
44.0,Private,198282.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024.0,0.0,60.0,United-States
47.0,Self-emp-not-inc,149116.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,0.0,50.0,United-States
20.0,Private,188300.0,Some-college,10.0,Never-married,Tech-support,Own-child,White,Female,0.0,0.0,40.0,United-States
29.0,Private,103432.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States
32.0,Self-emp-inc,317660.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,0.0,40.0,United-States
17.0,noValueSetHere123156456,304873.0,10th,6.0,Never-married,noValueSetHere123156456,Own-child,White,Female,34095.0,0.0,32.0,United-States
30.0,Private,194901.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States
31.0,Local-gov,189265.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States
42.0,Private,124692.0,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States
24.0,Private,432376.0,Bachelors,13.0,Never-married,Sales,Other-relative,White,Male,0.0,0.0,40.0,United-States
38.0,Private,65324.0,Prof-school,15.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States
56.0,Self-emp-not-inc,335605.0,HS-grad,9.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,1887.0,50.0,Canada
28.0,Private,377869.0,Some-college,10.0,Married-civ-spouse,Sales,Wife,White,Female,4064.0,0.0,25.0,United-States
36.0,Private,102864.0,HS-grad,9.0,Never-married,Machine-op-inspct,Own-child,White,Female,0.0,0.0,40.0,United-States
53.0,Private,95647.0,9th,5.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,50.0,United-States
56.0,Self-emp-inc,303090.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States
49.0,Local-gov,197371.0,Assoc-voc,11.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States
55.0,Private,247552.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,56.0,United-States
22.0,Private,102632.0,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,41.0,United-States
21.0,Private,199915.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40.0,United-States
40.0,Private,118853.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,60.0,United-States
30.0,Private,77143.0,Bachelors,13.0,Never-married,Exec-managerial,Own-child,Black,Male,0.0,0.0,40.0,Germany
29.0,State-gov,267989.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States
19.0,Private,301606.0,Some-college,10.0,Never-married,Other-service,Own-child,Black,Male,0.0,0.0,35.0,United-States
47.0,Private,287828.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,0.0,0.0,40.0,United-States
20.0,Private,111697.0,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,1719.0,28.0,United-States
31.0,Private,114937.0,Assoc-acdm,12.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States
35.0,noValueSetHere123156456,129305.0,HS-grad,9.0,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,0.0,0.0,40.0,United-States
39.0,Private,365739.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States
28.0,Private,69621.0,Assoc-acdm,12.0,Never-married,Sales,Not-in-family,White,Female,0.0,0.0,60.0,United-States
24.0,Private,43323.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,1762.0,40.0,United-States
38.0,Self-emp-not-inc,120985.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,4386.0,0.0,35.0,United-States
37.0,Private,254202.0,Bachelors,13.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,50.0,United-States
46.0,Private,146195.0,Assoc-acdm,12.0,Divorced,Tech-support,Not-in-family,Black,Female,0.0,0.0,36.0,United-States
38.0,Federal-gov,125933.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,Iran
43.0,Self-emp-not-inc,56920.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,60.0,United-States
27.0,Private,163127.0,Assoc-voc,11.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,35.0,United-States
20.0,Private,34310.0,Some-college,10.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,20.0,United-States
49.0,Private,81973.0,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,United-States
61.0,Self-emp-inc,66614.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
27.0,Private,232782.0,Some-college,10.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States
19.0,Private,316868.0,Some-college,10.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,30.0,Mexico
45.0,Private,196584.0,Assoc-voc,11.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1564.0,40.0,United-States
70.0,Private,105376.0,Some-college,10.0,Never-married,Tech-support,Other-relative,White,Male,0.0,0.0,40.0,United-States
31.0,Private,185814.0,HS-grad,9.0,Never-married,Transport-moving,Unmarried,Black,Female,0.0,0.0,30.0,United-States
22.0,Private,175374.0,Some-college,10.0,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,24.0,United-States
36.0,Private,108293.0,HS-grad,9.0,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,24.0,United-States
64.0,Private,181232.0,11th,7.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,2179.0,40.0,United-States
43.0,noValueSetHere123156456,174662.0,Some-college,10.0,Divorced,noValueSetHere123156456,Not-in-family,White,Female,0.0,0.0,40.0,United-States
47.0,Local-gov,186009.0,Some-college,10.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,38.0,Mexico
34.0,Private,198183.0,HS-grad,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States
33.0,Private,163003.0,Bachelors,13.0,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0.0,0.0,40.0,Philippines
21.0,Private,296158.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,35.0,United-States
52.0,noValueSetHere123156456,252903.0,HS-grad,9.0,Divorced,noValueSetHere123156456,Not-in-family,White,Male,0.0,0.0,45.0,United-States
48.0,Private,187715.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,46.0,United-States
23.0,Private,214542.0,Bachelors,13.0,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States
71.0,Self-emp-not-inc,494223.0,Some-college,10.0,Separated,Sales,Unmarried,Black,Male,0.0,1816.0,2.0,United-States
29.0,Private,191535.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,60.0,United-States
42.0,Private,228456.0,Bachelors,13.0,Separated,Other-service,Other-relative,Black,Male,0.0,0.0,50.0,United-States
68.0,noValueSetHere123156456,38317.0,1st-4th,2.0,Divorced,noValueSetHere123156456,Not-in-family,White,Female,0.0,0.0,20.0,United-States
25.0,Private,252752.0,HS-grad,9.0,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,40.0,United-States
44.0,Self-emp-inc,78374.0,Masters,14.0,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0.0,0.0,40.0,United-States
28.0,Private,88419.0,HS-grad,9.0,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0.0,0.0,40.0,England
45.0,Self-emp-not-inc,201080.0,Masters,14.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States
36.0,Private,207157.0,Some-college,10.0,Divorced,Other-service,Unmarried,White,Female,0.0,0.0,40.0,Mexico
39.0,Federal-gov,235485.0,Assoc-acdm,12.0,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,42.0,United-States
46.0,State-gov,102628.0,Masters,14.0,Widowed,Protective-serv,Unmarried,White,Male,0.0,0.0,40.0,United-States
18.0,Private,25828.0,11th,7.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,16.0,United-States
66.0,Local-gov,54826.0,Assoc-voc,11.0,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,20.0,United-States
27.0,Private,124953.0,HS-grad,9.0,Never-married,Other-service,Not-in-family,White,Male,0.0,1980.0,40.0,United-States
28.0,State-gov,175325.0,HS-grad,9.0,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States
51.0,Private,96062.0,Some-college,10.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,1977.0,40.0,United-States
27.0,Private,428030.0,Bachelors,13.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States
28.0,State-gov,149624.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States
27.0,Private,253814.0,HS-grad,9.0,Married-spouse-absent,Sales,Unmarried,White,Female,0.0,0.0,25.0,United-States
21.0,Private,312956.0,HS-grad,9.0,Never-married,Craft-repair,Own-child,Black,Male,0.0,0.0,40.0,United-States
34.0,Private,483777.0,HS-grad,9.0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0.0,0.0,40.0,United-States
18.0,Private,183930.0,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,12.0,United-States
33.0,Private,37274.0,Bachelors,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,65.0,United-States
44.0,Local-gov,181344.0,Some-college,10.0,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0.0,38.0,United-States
43.0,Private,114580.0,Some-college,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States
30.0,Private,633742.0,Some-college,10.0,Never-married,Craft-repair,Not-in-family,Black,Male,0.0,0.0,45.0,United-States
40.0,Private,286370.0,7th-8th,4.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico
37.0,Federal-gov,29054.0,Some-college,10.0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,42.0,United-States
34.0,Private,304030.0,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0.0,40.0,United-States
41.0,Self-emp-not-inc,143129.0,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States
53.0,noValueSetHere123156456,135105.0,Bachelors,13.0,Divorced,noValueSetHere123156456,Not-in-family,White,Female,0.0,0.0,50.0,United-States
31.0,Private,99928.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,50.0,United-States
58.0,State-gov,109567.0,Doctorate,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,1.0,United-States
38.0,Private,155222.0,Some-college,10.0,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0.0,0.0,28.0,United-States
24.0,Private,159567.0,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States
41.0,Local-gov,523910.0,Bachelors,13.0,Married-civ-spouse,Craft-repair,Husband,Black,Male,0.0,0.0,40.0,United-States
47.0,Private,120939.0,Some-college,10.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,45.0,United-States
41.0,Federal-gov,130760.0,Bachelors,13.0,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0.0,24.0,United-States
23.0,Private,197387.0,5th-6th,3.0,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0.0,0.0,40.0,Mexico
36.0,Private,99374.0,Some-college,10.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States
40.0,Federal-gov,56795.0,Masters,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,14084.0,0.0,55.0,United-States
35.0,Private,138992.0,Masters,14.0,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,7298.0,0.0,40.0,United-States
24.0,Self-emp-not-inc,32921.0,HS-grad,9.0,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States
26.0,Private,397317.0,Masters,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1876.0,40.0,United-States
19.0,noValueSetHere123156456,170653.0,HS-grad,9.0,Never-married,noValueSetHere123156456,Own-child,White,Male,0.0,0.0,40.0,Italy
51.0,Private,259323.0,Bachelors,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States
42.0,Local-gov,254817.0,Some-college,10.0,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,1340.0,40.0,United-States
37.0,State-gov,48211.0,HS-grad,9.0,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,35.0,United-States
18.0,Private,140164.0,11th,7.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,40.0,United-States
36.0,Private,128757.0,Bachelors,13.0,Married-civ-spouse,Other-service,Husband,Black,Male,7298.0,0.0,36.0,United-States
35.0,Private,36270.0,HS-grad,9.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,60.0,United-States
58.0,Self-emp-inc,210563.0,HS-grad,9.0,Married-civ-spouse,Sales,Wife,White,Female,15024.0,0.0,35.0,United-States
17.0,Private,65368.0,11th,7.0,Never-married,Sales,Own-child,White,Female,0.0,0.0,12.0,United-States
44.0,Local-gov,160943.0,HS-grad,9.0,Married-civ-spouse,Transport-moving,Husband,Black,Male,0.0,0.0,40.0,United-States
37.0,Private,208358.0,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States
