ProviderNumber String,HospitalName String,City String,State String,ZIPCode str,CountyName String,PhoneNumber String,HospitalType String,HospitalOwner String,EmergencyService String,Condition String,MeasureCode String,MeasureName String,Sample String,StateAvg String
,HELEN KELLER MEMORIAL HOSPITAL,SHEFFIELD,AL,35660.0,JEFFERSON,2563864556.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,41 patients,AL_HF-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,,Heart Attack Patients Given Aspirin at Arrival,270 patients,AL_AMI-1
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,,AL_AMI-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),71 patients,AL_AMI-3
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,244 patients,AL_AMI-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,441 patients,AL_AMI-5
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,,Yes,Heart Attack,,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,,36302.0,,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,40 patients,AL_AMI-8A
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,455 patients,AL_HF-1
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,514 patients,AL_HF-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,,Government - Hospital District or Authority,Yes,,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),165 patients,AL_HF-3
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,HF-4,,,AL_HF-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,,AL,36302.0,,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,191 patients,
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,125 patients,AL_PN-3B
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,107 patients,AL_PN-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,196 patients,AL_PN-5C
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),147 patients,AL_PN-6
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,160 patients,
10001,SOUTHEAST ALABAMA MEDICAL CENTER,,AL,36302.0,,3347938701.0,Acute Care Hospitals,,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,79 patients,AL_SCIP-CARD-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,399 patients,
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,,,3347938701.0,,Government - Hospital District or Authority,,,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,405 patients,AL_SCIP-INF-2
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,,Acute Care Hospitals,,Yes,Surgical Infection Prevention,SCIP-INF-3,,385 patients,AL_SCIP-INF-3
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,136 patients,AL_SCIP-INF-4
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,,36302.0,,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),537 patients,AL_SCIP-INF-6
10001,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,185 patients,AL_SCIP-VTE-1
,SOUTHEAST ALABAMA MEDICAL CENTER,DOTHAN,AL,36302.0,HOUSTON,3347938701.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-2,,184 patients,AL_SCIP-VTE-2
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,,,Heart Attack,AMI-1,,20 patients,AL_AMI-1
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,,2565938310.0,Acute Care Hospitals,,Yes,,AMI-2,Heart Attack Patients Given Aspirin at Discharge,5 patients,AL_AMI-2
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),,AL_AMI-3
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,0 patients,AL_AMI-4
10005,MARSHALL MEDICAL CENTER SOUTH,,AL,35957.0,,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,5 patients,AL_AMI-5
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,AL_AMI-8A
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,HF-1,Heart Failure Patients Given Discharge Instructions,110 patients,AL_HF-1
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,160 patients,AL_HF-2
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),69 patients,AL_HF-3
10005,,,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,34 patients,AL_HF-4
,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,172 patients,
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,120 patients,AL_PN-3B
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,98 patients,AL_PN-4
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,211 patients,AL_PN-5C
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),,AL_PN-6
10005,,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,118 patients,AL_PN-7
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,,MARSHALL,2565938310.0,Acute Care Hospitals,,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,14 patients,AL_SCIP-CARD-2
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,168 patients,AL_SCIP-INF-1
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,167 patients,
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),158 patients,AL_SCIP-INF-3
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,AL_SCIP-INF-4
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),237 patients,AL_SCIP-INF-6
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,76 patients,AL_SCIP-VTE-1
10005,MARSHALL MEDICAL CENTER SOUTH,BOAZ,AL,35957.0,MARSHALL,2565938310.0,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,76 patients,AL_SCIP-VTE-2
,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,159 patients,AL_AMI-1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,AMI-2,Heart Attack Patients Given Aspirin at Discharge,247 patients,AL_AMI-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-3,,43 patients,AL_AMI-3
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,AMI-4,,103 patients,AL_AMI-4
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,,Yes,Heart Attack,,,227 patients,AL_AMI-5
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,61 patients,AL_AMI-8A
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,,AL_HF-1
10006,,FLORENCE,,,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,259 patients,AL_HF-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,,AL,,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),84 patients,AL_HF-3
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,53 patients,AL_HF-4
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,174 patients,AL_PN-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-3B,,137 patients,AL_PN-3B
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,65 patients,AL_PN-4
,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,200 patients,AL_PN-5C
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),,AL_PN-6
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,85 patients,AL_PN-7
10006,ELIZA COFFEE MEMORIAL HOSPITAL,,AL,35631.0,LAUDERDALE,2567688400.0,,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,107 patients,AL_SCIP-CARD-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,457 patients,AL_SCIP-INF-1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,462 patients,AL_SCIP-INF-2
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),439 patients,AL_SCIP-INF-3
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,130 patients,AL_SCIP-INF-4
10006,,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),,AL_SCIP-INF-6
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Surgical Infection Prevention,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,242 patients,AL_SCIP-VTE-1
10006,ELIZA COFFEE MEMORIAL HOSPITAL,FLORENCE,AL,35631.0,LAUDERDALE,2567688400.0,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,,AL_SCIP-VTE-2
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,5 patients,AL_AMI-1
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,,AL_AMI-2
10007,MIZELL MEMORIAL HOSPITAL,,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0 patients,AL_AMI-3
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,,,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,0 patients,
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,2 patients,AL_AMI-5
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,COVINGTON,3344933541.0,,Voluntary non-profit - Private,No,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,,AL_AMI-7A
10007,MIZELL MEMORIAL HOSPITAL,,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,AL_AMI-8A
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,59 patients,AL_HF-1
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,76 patients,AL_HF-2
,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),14 patients,AL_HF-3
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,8 patients,AL_HF-4
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Pneumonia,,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,85 patients,AL_PN-2
10007,MIZELL MEMORIAL HOSPITAL,OPP,AL,,COVINGTON,,,Voluntary non-profit - Private,No,Pneumonia,,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,64 patients,AL_PN-3B
10007,MIZELL MEMORIAL HOSPITAL,,AL,36467.0,COVINGTON,3344933541.0,,,No,Pneumonia,,Pneumonia Patients Given Smoking Cessation Advice/Counseling,28 patients,AL_PN-4
10007,,OPP,AL,36467.0,COVINGTON,3344933541.0,,Voluntary non-profit - Private,No,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,87 patients,AL_PN-5C
10007,,OPP,AL,36467.0,COVINGTON,3344933541.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Pneumonia,,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),,AL_PN-6
